Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AU,AngloGold Ashanti Limited Common Stock,$17.83,-0.39,-2.141%,7459000898.00,South Africa,,1834855,Basic Materials,Precious Metals
AUMN,Golden Minerals Company Common Stock,$0.3892,-0.01,-2.505%,63800774.00,United States,,342541,Basic Materials,Precious Metals
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$67.10,-0.34,-0.504%,169840943025.00,Australia,,3632967,Basic Materials,Metal Mining
BRCN,Burcon NutraScience Corp. Common Stock,$0.6441,0.0019,0.296%,70019194.00,Canada,,12630,Basic Materials,Other Metals and Minerals
BVN,Buenaventura Mining Company Inc.,$8.70,-0.18,-2.027%,2209685743.00,Peru,1996,1084647,Basic Materials,Precious Metals
CDE,Coeur Mining Inc. Common Stock,$4.17,-0.09,-2.113%,1170962459.00,United States,,4555413,Basic Materials,Precious Metals
CHNR,China Natural Resources Inc. Common Stock,$0.6698,-0.0106,-1.558%,27427025.00,Hong Kong,,1292,Basic Materials,Metal Mining
CLW,Clearwater Paper Corporation Common Stock,$34.79,0.55,1.606%,587511950.00,United States,,90350,Basic Materials,Paper
CMCL,Caledonia Mining Corporation Plc Common Shares,$13.51,-0.29,-2.101%,173375532.00,Canada,,16038,Basic Materials,Precious Metals
CMP,Compass Minerals Intl Inc Common Stock,$44.42,-0.96,-2.115%,1516870595.00,United States,2003,165351,Basic Materials,Other Metals and Minerals
CTGO,Contango ORE Inc. Common Stock,$22.20,0.2187,0.995%,150292291.00,,2021,674,Basic Materials,Precious Metals
DC,Dakota Gold Corp. Common Stock,$3.37,0.02,0.597%,238767813.00,,2022,142581,Basic Materials,Precious Metals
DRD,DRDGOLD Limited American Depositary Shares,$6.87,-0.30,-4.184%,589429814.00,South Africa,,162254,Basic Materials,Precious Metals
FAST,Fastenal Company Common Stock,$54.44,-0.70,-1.269%,31335992382.00,United States,1987,2514272,Basic Materials,Construction Materials
FCX,Freeport-McMoRan Inc. Common Stock,$41.33,-0.39,-0.935%,59928500000.00,United States,,13459937,Basic Materials,Metal Mining
GATO,Gatos Silver Inc. Common Stock,$3.40,-0.07,-2.017%,235057280.00,United States,2020,593226,Basic Materials,Precious Metals
GFI,Gold Fields Limited American Depositary Shares,$9.70,-0.42,-4.15%,8646362555.00,South Africa,,15905740,Basic Materials,Precious Metals
GLT,Glatfelter Corporation Common Stock,$8.22,-0.46,-5.30%,367602033.00,United States,2000,194497,Basic Materials,Paper
GORO,Gold Resource Corporation Common Stock,$1.84,-0.02,-1.075%,162543344.00,United States,,472200,Basic Materials,Precious Metals
GPK,Graphic Packaging Holding Company,$22.46,-0.42,-1.836%,6924573131.00,United States,,2880972,Basic Materials,Paper
GSM,Ferroglobe PLC Ordinary Shares,$7.72,0.01,0.13%,1446059911.00,United Kingdom,,651733,Basic Materials,Other Metals and Minerals
HL,Hecla Mining Company Common Stock,$5.01,-0.14,-2.718%,2700638681.00,United States,,4711661,Basic Materials,Precious Metals
HMY,Harmony Gold Mining Company Limited,$3.57,-0.10,-2.725%,2200827606.00,South Africa,,4124910,Basic Materials,Precious Metals
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$1.32,-0.11,-7.692%,66211255.00,United States,2018,7022623,Basic Materials,Precious Metals
HYMCL,Hycroft Mining Holding Corporation Warrants,$0.3298,0.0298,9.933%,0.00,United States,,5149,Basic Materials,Precious Metals
HYMCW,Hycroft Mining Holding Corporation  Warrant,$0.268,-0.0223,-7.682%,0.00,United States,2018,49468,Basic Materials,Precious Metals
HYMCZ,Hycroft Mining Holding Corporation Warrant,$0.134,0.0038,2.919%,0.00,United States,,17307,Basic Materials,Precious Metals
IDR,Idaho Strategic Resources Inc. Common Stock,$8.52,0.25,3.023%,100348006.00,,,30891,Basic Materials,Precious Metals
ITP,IT Tech Packaging Inc. Common Stock,$0.1725,0.0005,0.291%,17086108.00,China,,500736,Basic Materials,Paper
MERC,Mercer International Inc. Common Stock,$15.09,0.21,1.411%,997939304.00,Canada,,189836,Basic Materials,Paper
MP,MP Materials Corp. Common Stock,$38.71,0.15,0.389%,6872063473.00,,2020,2586724,Basic Materials,Precious Metals
MSB,Mesabi Trust Common Stock,$28.92,0.40,1.403%,379430689.00,United States,,65326,Basic Materials,Metal Mining
MUX,McEwen Mining Inc. Common Stock,$0.616,-0.024,-3.75%,292153786.00,Canada,,870379,Basic Materials,Other Metals and Minerals
NEM,Newmont Corporation,$67.82,-0.97,-1.41%,53825420247.00,United States,,3578818,Basic Materials,Precious Metals
NEXA,Nexa Resources S.A. Common Shares,$8.72,-0.31,-3.433%,1154864688.00,,2017,62848,Basic Materials,Metal Mining
NP,Neenah Inc. Common Stock,$38.13,-1.26,-3.199%,640131893.00,United States,,55143,Basic Materials,Paper
PKG,Packaging Corporation of America Common Stock,$159.12,-0.57,-0.357%,14909730489.00,United States,2000,327188,Basic Materials,Paper
PLL,Piedmont Lithium Inc. Common Stock,$58.65,-2.51,-4.104%,1052006575.00,United States,,355077,Basic Materials,Other Metals and Minerals
PZG,Paramount Gold Nevada Corp. Common Stock,$0.5399,-0.0051,-0.936%,25154525.00,United States,2015,15357,Basic Materials,Precious Metals
RFP,Resolute Forest Products Inc. Common Stock,$14.22,-0.31,-2.134%,1092047268.00,Canada,,1147780,Basic Materials,Paper
RIO,Rio Tinto Plc Common Stock,$74.86,-0.96,-1.266%,121310630150.00,Australia,2002,1482574,Basic Materials,Metal Mining
SBSW,D/B/A Sibanye-Stillwater Limited ADS,$12.66,-0.37,-2.84%,8956283704.00,,,2216269,Basic Materials,Precious Metals
SCCO,Southern Copper Corporation Common Stock,$63.44,-0.96,-1.491%,49044833977.00,United States,,867753,Basic Materials,Metal Mining
STKL,SunOpta Inc. Common Stock,$7.63,-0.15,-1.928%,820934018.00,Canada,,1048752,Basic Materials,Precious Metals
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),$11.07,-0.24,-2.122%,14937326806.00,,2018,904769,Basic Materials,Paper
SWM,Schweitzer-Mauduit International Inc. Common Stock,$27.97,-0.60,-2.10%,874308776.00,United States,,148314,Basic Materials,Paper
UEC,Uranium Energy Corp. Common Stock,$3.94,-0.25,-5.967%,1115079793.00,Canada,,16138762,Basic Materials,Other Metals and Minerals
UFPI,UFP Industries Inc. Common Stock,$79.38,0.14,0.177%,4979837700.00,United States,1993,189152,Basic Materials,Forest Products
USAU,U.S. Gold Corp. Common Stock,$5.03,0.03,0.60%,41999710.00,United States,,7292,Basic Materials,Precious Metals
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$18.54,-0.27,-1.435%,87886365524.00,Brazil,,25774064,Basic Materials,Metal Mining
VGFC,The Very Good Food Company Inc. Common Shares,$0.2332,-0.0138,-5.587%,27635008.00,Canada,,1055314,Basic Materials,Other Metals and Minerals
WWR,Westwater Resources Inc. Common Stock,$1.25,-0.03,-2.344%,58992128.00,United States,,376128,Basic Materials,Other Metals and Minerals
XPL,Solitario Zinc Corp. Common Stock,$0.7211,-0.0385,-5.068%,46704834.00,United States,,46538,Basic Materials,Precious Metals
